Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
South Sudan,SSD,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
South Sudan,SSD,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
South Sudan,SSD,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
South Sudan,SSD,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
South Sudan,SSD,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
South Sudan,SSD,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,38.6
South Sudan,SSD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,96.2
South Sudan,SSD,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,28.4595300261097
South Sudan,SSD,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
South Sudan,SSD,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Sudan,SDN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Sudan,SDN,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Sudan,SDN,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Sudan,SDN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Sudan,SDN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Sudan,SDN,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,27.2
Sudan,SDN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,58.4
Sudan,SDN,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,..
Sudan,SDN,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Sudan,SDN,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Angola,AGO,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Angola,AGO,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Angola,AGO,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Angola,AGO,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
Angola,AGO,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..
Angola,AGO,"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,27.6
Angola,AGO,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,74.7
Angola,AGO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,30
Angola,AGO,Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,..
Angola,AGO,Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,..
Benin,BEN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..
Benin,BEN,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..
Benin,BEN,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..
Benin,BEN,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,..
